"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN005010600","AHMADABAD, IN","1960-04-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-09","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-10","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-11","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-15","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-17","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-18","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-20","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-23","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-27","0.00","88","102","75"
"IN005010600","AHMADABAD, IN","1960-04-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-04-29","0.00","92","108","77"
"IN005010600","AHMADABAD, IN","1960-04-30","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-01","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-04","0.00","83","86","75"
"IN005010600","AHMADABAD, IN","1960-05-05","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-06","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-07","0.00",,,
